variety,type,origin,alpha,beta,cohumulone,myrcene,caryophyllene,humulene,farnesene,total_oil,aroma
Ahtanum®,Aroma,United States,5.5,5.5,32.5,52.5,10.5,18,0.5,0.5,citrus
Ahtanum®,Aroma,United States,5.5,5.5,32.5,52.5,10.5,18,0.5,0.5,grapefruit
Ahtanum®,Aroma,United States,5.5,5.5,32.5,52.5,10.5,18,0.5,0.5,geranium
Amarillo®,Aroma,United States,9.5,6.5,22.5,69,3,10,3,1,grapefruit
Amarillo®,Aroma,United States,9.5,6.5,22.5,69,3,10,3,1,orange
Amarillo®,Aroma,United States,9.5,6.5,22.5,69,3,10,3,1,lemon
Amarillo®,Aroma,United States,9.5,6.5,22.5,69,3,10,3,1,melon
Amarillo®,Aroma,United States,9.5,6.5,22.5,69,3,10,3,1,apricot
Amarillo®,Aroma,United States,9.5,6.5,22.5,69,3,10,3,1,peach
Aramis,Aroma,France,7.5,3.5,20.5,40,7,20.5,3,1,spicy
Aramis,Aroma,France,7.5,3.5,20.5,40,7,20.5,3,1,herbal
Aramis,Aroma,France,7.5,3.5,20.5,40,7,20.5,3,1,citrus
Aurora,Aroma,Slovenia,7.5,3,23,22.5,7.5,22.5,7.5,0.5,noble
Blanc,Aroma,Germany,10.5,4.5,24,62.5,1,1.5,0.5,1,floral
Blanc,Aroma,Germany,10.5,4.5,24,62.5,1,1.5,0.5,1,fruity
Blanc,Aroma,Germany,10.5,4.5,24,62.5,1,1.5,0.5,1,passion
Blanc,Aroma,Germany,10.5,4.5,24,62.5,1,1.5,0.5,1,fruit
Blanc,Aroma,Germany,10.5,4.5,24,62.5,1,1.5,0.5,1,grapefruit
Blanc,Aroma,Germany,10.5,4.5,24,62.5,1,1.5,0.5,1,pineapple
Blanc,Aroma,Germany,10.5,4.5,24,62.5,1,1.5,0.5,1,grape
Blanc,Aroma,Germany,10.5,4.5,24,62.5,1,1.5,0.5,1,lemongrass
Bobek,Aroma,Slovenia,5,5,29,37.5,5,16,5.5,2,floral
Bobek,Aroma,Slovenia,5,5,29,37.5,5,16,5.5,2,pine
Brewers Gold,Aroma,Germany,8,3.75,44,45.5,8.75,22.5,0.5,1.75,blackcurrant
Brewers Gold,Aroma,Germany,8,3.75,44,45.5,8.75,22.5,0.5,1.75,fruity
Brewers Gold,Aroma,Germany,8,3.75,44,45.5,8.75,22.5,0.5,1.75,spicy
Brewers Gold,Aroma,Germany,8,3.75,44,45.5,8.75,22.5,0.5,1.75,blackcurrant
Brewers Gold,Aroma,Germany,8,3.75,44,45.5,8.75,22.5,0.5,1.75,spicy
Cascade,Aroma,United States,7,6.5,32.5,52.5,7,17,7.5,1,medium
Cascade,Aroma,United States,7,6.5,32.5,52.5,7,17,7.5,1,floral
Cascade,Aroma,United States,7,6.5,32.5,52.5,7,17,7.5,1,citrus
Cascade,Aroma,United States,7,6.5,32.5,52.5,7,17,7.5,1,grapefruit
Citra®,Aroma,United States,13,3.5,22,65,6.5,9.5,0.5,2,grapefruit
Citra®,Aroma,United States,13,3.5,22,65,6.5,9.5,0.5,2,melon
Citra®,Aroma,United States,13,3.5,22,65,6.5,9.5,0.5,2,lime
Citra®,Aroma,United States,13,3.5,22,65,6.5,9.5,0.5,2,gooseberry
Citra®,Aroma,United States,13,3.5,22,65,6.5,9.5,0.5,2,passion
Citra®,Aroma,United States,13,3.5,22,65,6.5,9.5,0.5,2,fruit
Citra®,Aroma,United States,13,3.5,22,65,6.5,9.5,0.5,2,lychee
Crystal,Aroma,United States,3,5,23,52.5,6,21,0.5,1,wood
Crystal,Aroma,United States,3,5,23,52.5,6,21,0.5,1,green
East Kent Goldings,Aroma,United Kingdom,5,2,29.5,30,12.5,40,0.5,0.5,smooth
East Kent Goldings,Aroma,United Kingdom,5,2,29.5,30,12.5,40,0.5,0.5,floral
East Kent Goldings,Aroma,United Kingdom,5,2,29.5,30,12.5,40,0.5,0.5,lavender
East Kent Goldings,Aroma,United Kingdom,5,2,29.5,30,12.5,40,0.5,0.5,spice
East Kent Goldings,Aroma,United Kingdom,5,2,29.5,30,12.5,40,0.5,0.5,honey
East Kent Goldings,Aroma,United Kingdom,5,2,29.5,30,12.5,40,0.5,0.5,earth
East Kent Goldings,Aroma,United Kingdom,5,2,29.5,30,12.5,40,0.5,0.5,lemon
East Kent Goldings,Aroma,United Kingdom,5,2,29.5,30,12.5,40,0.5,0.5,orange
East Kent Goldings,Aroma,United Kingdom,5,2,29.5,30,12.5,40,0.5,0.5,grapefruit
East Kent Goldings,Aroma,United Kingdom,5,2,29.5,30,12.5,40,0.5,0.5,thyme
Ekuanot™,Aroma,United States,14,4.5,33.5,37.5,10,16,0.5,3,melon
Ekuanot™,Aroma,United States,14,4.5,33.5,37.5,10,16,0.5,3,berry
Ekuanot™,Aroma,United States,14,4.5,33.5,37.5,10,16,0.5,3,orange
Ekuanot™,Aroma,United States,14,4.5,33.5,37.5,10,16,0.5,3,peel
Ekuanot™,Aroma,United States,14,4.5,33.5,37.5,10,16,0.5,3,lime
Ekuanot™,Aroma,United States,14,4.5,33.5,37.5,10,16,0.5,3,papaya
Ekuanot™,Aroma,United States,14,4.5,33.5,37.5,10,16,0.5,3,pine
