episode_overall,season,episode,title,aired_date,year,tmdb_rating,tmdb_vote_count,synopsis,directed_by,written_by,us_viewers_millions,runtime,tmdb_id,imdb_title,imdb_aired_date,imdb_synopsis,imdb_rating,imdb_vote_count,thumbnail_url,imdb_episode_url,is_holiday,guest_actors,guest_characters
1,1,1,Human Flesh,2011-01-09,2011,6.929,28,A health inspector's visit coincides with Bob's efforts to bring in customers.,Anthony Chun,Loren Bouchard & Jim Dauterive,9.38,22,769774,Human Flesh,"Sun, Jan 9, 2011","On top of watching his dysfunctional family crumble around him, Bob faces the wrath of a jealous health inspector who cooks up a nasty rumor about the restaurant's choice of meat.",7.7,2500,"https://m.media-amazon.com/images/M/MV5BMTg0Nzk3OTc5MV5BMl5BanBnXkFtZTcwNjE5MTcyNA@@._V1_QL75_UY281_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt1645218/?ref_=ttep_ep_1,FALSE,NA,NA
2,1,2,Crawl Space,2011-01-16,2011,7.476,21,A leaky roof causes Bob to get trapped in a wall while Linda's mother visits.,Kyounghee Lim,Loren Bouchard & Jim Dauterive,5.07,22,769775,Crawl Space,"Sun, Jan 16, 2011","His in-laws are coming into town, and Bob tries desperately to concoct a plan to avoid them for as long as he can. Unfortunately, Bob did not plan to get stuck in the recesses of the family restaurant.",8.1,2200,"https://m.media-amazon.com/images/M/MV5BZTU1OGQ5MTctNjQyNy00NTRmLTg5OTktYzEyMWFlNTQyMWU4XkEyXkFqcGc@._V1_QL75_UY281_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt1646300/?ref_=ttep_ep_2,FALSE,NA,NA
3,1,3,Sacred Cow,2011-01-23,2011,7.4,18,Bob takes to a film maker's cow.,Jennifer Coyle,Nora Smith,4.81,22,769778,Sacred Cow,"Sun, Jan 23, 2011","A filmmaker placed a cow outside the restaurant to make a statement, which angers Bob, but his family is confused over how he treats the cow.",7.5,1900,"https://m.media-amazon.com/images/M/MV5BMjcxMmJmY2ItZGFkZS00MTVmLWE3YTItOTQ3NTk2NTZiMDk1XkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt1645219/?ref_=ttep_ep_3,FALSE,NA,NA
4,1,4,Sexy Dance Fighting,2011-02-13,2011,7.1,19,Tina develops a crush on her martial arts instructor.,Anthony Chun,Steven Davis & Kelvin Yu,4.19,22,769776,Sexy Dance Fighting,"Sun, Feb 13, 2011","When Tina develops a crush on the new martial arts instructor in town, she joins the class and ends up shirking her responsibilities at the restaurant. Bob finds out what's going on and decides to take matters into his own hands.",7.4,1800,"https://m.media-amazon.com/images/M/MV5BMTQxNjMxOTA0OF5BMl5BanBnXkFtZTgwNjI5OTg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt1645220/?ref_=ttep_ep_4,FALSE,NA,NA
5,1,5,Hamburger Dinner Theater,2011-02-20,2011,7.3,19,Linda and the kids stage a murder mystery that doesn't go as planned.,Wes Archer,Dan Fybel & Rich Rinaldi,4.87,22,769777,Hamburger Dinner Theater,"Sun, Feb 20, 2011","Linda is dying to relive her dream of becoming a star on Broadway, so she decides to host a dinner theater at the restaurant. But on opening night a shocking surprise leaves Linda with a more chilling production than she planned for.",7.5,1800,"https://m.media-amazon.com/images/M/MV5BMTUyMzM0MzY3OV5BMl5BanBnXkFtZTgwODMyNzg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt1841032/?ref_=ttep_ep_5,FALSE,Toby Huss,Robber
6,1,6,"Sheesh! Cab, Bob?",2011-03-06,2011,7,20,"Tina is desperate to get her first kiss at her 13th birthday party. But after Louise breaks the deep fryer, Bob takes a second job as a late-night cab driver to pay for Tina’s party. Things keep getting worse for Bob when the parents of Tina’s crush refuse to let their son attend the party, and Bob has to do everything in his power to save his daughter’s big day.",Jennifer Coyle,Jon Schroeder,4.91,22,769779,"Sheesh! Cab, Bob?","Sun, Mar 6, 2011","Bob takes a second job as a nighttime cab driver so he can give Tina the 13th birthday party she deserves, and he makes some surprising new friends along the ride.",8.3,2000,"https://m.media-amazon.com/images/M/MV5BMjMzMzI2NTE1OV5BMl5BanBnXkFtZTgwNDUzOTg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt1854660/?ref_=ttep_ep_6,FALSE,NA,NA
7,1,7,Bed & Breakfast,2011-03-13,2011,7.4,18,"Linda hosts a bed and breakfast, but her guests aren't as grateful as she would like.  Things take a turn for the worse when Louise's room is rented to Teddy.",Boohwan Lim,Holly Schlesinger,4.1,22,769780,Bed & Breakfast,"Sun, Mar 13, 2011","Linda gets really excited about opening a Bed and Breakfast to capitalize on the high volume of tourists coming into town, but when the guests start to arrive Louise senses espionage afoot.",7.6,1600,"https://m.media-amazon.com/images/M/MV5BMTQ3Mjk1ODA1OF5BMl5BanBnXkFtZTgwMTMzOTg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt1854659/?ref_=ttep_ep_7,FALSE,NA,NA
8,1,8,Art Crawl,2011-03-20,2011,7.9,17,It's Bob vs. the city art council when Linda's sister displays her work at Bob's Burgers.,Kyounghee Lim,Lizzie Molyneux & Wendy Molyneux,4.43,22,769781,Art Crawl,"Sun, Mar 20, 2011","Linda's eccentric sister Gayle comes to town intending to use the restaurant as a gallery for her paintings during this year's ""Art Crawl."" Bob is left totally oblivious the comically explicit nature of Gayle's artwork until it's too late.",7.9,1700,"https://m.media-amazon.com/images/M/MV5BMTYwNTQ2ODk4Nl5BMl5BanBnXkFtZTgwODc0NTg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt1857991/?ref_=ttep_ep_8,FALSE,NA,NA
9,1,9,Spaghetti Western and Meatballs,2011-03-27,2011,7.5,16,"Bob and Gene bond over spaghetti western movies, which makes Louise jealous.",Wes Archer,Kit Boss,4.65,22,769782,Spaghetti Western and Meatballs,"Sun, Mar 27, 2011","Bob and Gene bond over spaghetti western movies, which makes Louise jealous.",7.6,1600,"https://m.media-amazon.com/images/M/MV5BMTg4Nzk1NjE3NV5BMl5BanBnXkFtZTgwODU0NTg0MjE@._V1_QL75_UX500_CR0,47,500,281_.jpg",https://www.imdb.com/title/tt1857992/?ref_=ttep_ep_9,FALSE,Brian Posehn,Choo-Choo
10,1,10,Burger Wars,2011-04-10,2011,7.6,14,"When Bob's eccentric landlord, Mr. Fischoeder, pays the family a visit, he informs Bob that his rival across the street, Jimmy Pesto of Jimmy Pesto's Pizzeria, wants to take over Bob's lease so that he can expand his gift shop. With little time and not enough money, the Belcher family must cook up some business or luck to save the restaurant.",Boohwan Lim,Loren Bouchard,4,22,769783,Burger War,"Sun, Apr 10, 2011","Bob's landlord has been understanding about the consistent delay in rent, but payment time has come. After getting wind of Bob's financial trouble, Jimmy Pesto faces-off against his mortal enemy by introducing burgers to his own menu.",7.7,1500,"https://m.media-amazon.com/images/M/MV5BMzU4NDVjYzMtZjU2MC00MjQ4LWI1M2EtYzc3YzEwNDVhNGYyXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,500,281_.jpg",https://www.imdb.com/title/tt1876671/?ref_=ttep_ep_10,FALSE,NA,NA
