magazine,year,month,volume,issue,location,title,author,note,start_page,page_count
Heavy Metal,1977,April,1,1,Cover,NA,Jean-Michel Nicollet,NA,0,1
Heavy Metal,1977,April,1,1,p.03,Origins,"""Origins""",NA,3,1
Heavy Metal,1977,April,1,1,p.05-12,Den,Richard Corben,reprinted in One Step Beyond 1996,5,8
Heavy Metal,1977,April,1,1,p.13-15,Rut,Philippe Druillet,NA,13,3
Heavy Metal,1977,April,1,1,p.16-27,Conquering Armies,Jean-Pierre Dionnet andJean-Claude Gal,NA,16,12
Heavy Metal,1977,April,1,1,p.29-36,The Adventures Of Yrris,"Philippe Druillet andDominique ""Alexis"" Vallet",NA,29,8
Heavy Metal,1977,April,1,1,p.37-44,Arzach,"Jean ""Moebius"" Giraud",NA,37,8
Heavy Metal,1977,April,1,1,p.45-54,Selenia,Marre and Sergio Macedo,NA,45,10
Heavy Metal,1977,April,1,1,"p.55-57, 78",The Sword OfShannara,"Terry Brooks, Tim Hildebrandt, and Greg Hildebrandt",NA,55,4
Heavy Metal,1977,April,1,1,p.59-68,Traumwach: A Tale Of Romantic-Kitsch,"Mouchel, Pauline Pierson, and Alain Voss",NA,59,10
Heavy Metal,1977,April,1,1,p.69-76,Space Punks,Jean-Claude Mzires,NA,69,8
Heavy Metal,1977,April,1,1,"p.77, 84",1996,Chantal Montellier,NA,77,2
Heavy Metal,1977,April,1,1,p.79-82,Age Of Ages: A Gothic Science-Fiction TripTo The Apocalypse,Norman Rubington and Akbar Del Piombo,NA,79,4
Heavy Metal,1977,April,1,1,p.85-88,Sunpot,Vaughn Bod and Jack Adler,reprinted in 15 Years Of 1992,85,4
Heavy Metal,1977,April,1,1,p.89-92,Sunpot: Chapter 1,Vaughn Bod and Jack Adler,reprinted in 15 Years Of 1992,89,4
Heavy Metal,1977,April,1,1,p.93-96,Manipulation,Roy,NA,93,4
Heavy Metal,1977,April,1,1,Back Cover,NA,Philippe Druillet,NA,97,1
Heavy Metal,1977,May,1,2,Cover,NA,"Jean ""Moebius"" Giraud",NA,0,1
Heavy Metal,1977,May,1,2,p.03,Further...,"""Further...""",NA,3,1
Heavy Metal,1977,May,1,2,p.05-12,MEAOBbIN MECRU,Jacques Tardi,NA,5,8
Heavy Metal,1977,May,1,2,p.13-20,The Adventures Of Yrris,"Philippe Druillet andDominique ""Alexis"" Vallet",NA,13,8
Heavy Metal,1977,May,1,2,p.21-24,Sunpot: Chapter 2,Vaughn Bod andJack Adler,reprinted in 15 Years Of 1992,21,4
Heavy Metal,1977,May,1,2,p.25-28,Sunpot: Chapter 3,Vaughn Bod and Jack Adler,reprinted in 15 Years Of 1992,25,4
Heavy Metal,1977,May,1,2,p.29-43,Agorn,Philippe Druillet,NA,29,15
Heavy Metal,1977,May,1,2,p.44,1996,Chantal Montellier,NA,44,1
Heavy Metal,1977,May,1,2,p.45-52,Den,Richard Corben,reprinted in One Step Beyond 1996,45,8
Heavy Metal,1977,May,1,2,p.53-64,ConqueringArmies,Jean-Pierre Dionnet and Jean-Claude Gal,NA,53,12
Heavy Metal,1977,May,1,2,p.66-68,AgeOf Ages: A Gothic Science-Fiction Trip To The Apocalypse,Norman Rubington andAkbar Del Piombo,NA,66,3
Heavy Metal,1977,May,1,2,p.69-72,Roger,D. Locquet and Souchu,NA,69,4
Heavy Metal,1977,May,1,2,p.74-77,Up The Walls Of The World: The Star-Death Of Margaret Omali,James TiptreeJr.,NA,74,4
Heavy Metal,1977,May,1,2,p.79-84,Virgo,"Philippe ""Caza"" Cazamayou",reprinted in The BestOf 1982 and Greatest Hits 1994,79,6
Heavy Metal,1977,May,1,2,p.85-92,Harzak,"Jean ""Moebius"" Giraud",NA,85,8
Heavy Metal,1977,May,1,2,p.93-96,Festival,Philippe Picaret and Baret,NA,93,4
Heavy Metal,1977,May,1,2,Back Cover,NA,PhilippeDruillet,NA,97,1
Heavy Metal,1977,June,1,3,Cover,NA,"Jean ""Moebius"" Giraud",NA,0,1
Heavy Metal,1977,June,1,3,p.01,Chain Mail,"""Chain Mail""",NA,1,1
Heavy Metal,1977,June,1,3,p.03,...Still...,"""...Still...""",NA,3,1
Heavy Metal,1977,June,1,3,p.04-11,Gail,Philippe Druillet,NA,4,8
Heavy Metal,1977,June,1,3,p.13-20,World Apart:The Golden City,E. E. Davis,NA,13,8
Heavy Metal,1977,June,1,3,p.21-24,Conquering Armies,Jean-PierreDionnet and Jean-Claude Gal,NA,21,4
Heavy Metal,1977,June,1,3,p.25-28,The Vessel,Dominique H,NA,25,4
Heavy Metal,1977,June,1,3,p.29-32,Sunpot: Chapter 4,Vaughn Bod and Jack Adler,reprinted in 15 YearsOf 1992,29,4
Heavy Metal,1977,June,1,3,p.35-44,Rockblitz,Sergio Macedo,NA,35,10
Heavy Metal,1977,June,1,3,p.45-52,Den,Richard Corben,NA,45,8
Heavy Metal,1977,June,1,3,p.55-57,Night Images: A Book Of Fantasy Verse: The HeartOf The Sea's Desire,"Robert Ervin Howard, Richard Corben, and Frank Frazetta",NA,55,3
Heavy Metal,1977,June,1,3,p.60,NightImages: A Book Of Fantasy Verse: The Ghost Kings,"Robert Ervin Howard, RichardCorben, and Frank Frazetta",NA,60,1
Heavy Metal,1977,June,1,3,p.61-68,Fear Of The Blue-Eyed Sloane!,Jacques Tardi,NA,61,8
Heavy Metal,1977,June,1,3,p.69-71,Age Of Ages: A Gothic Science-Fiction Trip To TheApocalypse,Norman Rubington and Akbar Del Piombo,NA,69,3
Heavy Metal,1977,June,1,3,p.73-75,1996,Chantal Montellier,NA,73,3
Heavy Metal,1977,June,1,3,p.77-84,Arzak,"Jean ""Moebius"" Giraud",NA,77,8
Heavy Metal,1977,June,1,3,p.85-88,Vengeance,"Dominique ""Alexis"" Vallet",NA,85,4
Heavy Metal,1977,June,1,3,p.89-96,Shells,Franois Schuitenand Luc Schuiten,reprinted in Greatest Hits 1994,89,8
Heavy Metal,1977,June,1,3,Back Cover,NA,PhilippeDruillet,NA,97,1
Heavy Metal,1977,July,1,4,Cover,NA,"""Arzach Rides Again"" - Jean ""Moebius"" Giraud",NA,0,1
Heavy Metal,1977,July,1,4,p.01,ChainMail,"""ChainMail""",NA,1,1
Heavy Metal,1977,July,1,4,p.02,Harzac,"Jean ""Moebius"" Giraud",NA,2,1
Heavy Metal,1977,July,1,4,p.05,...Yet...,"""...Yet...""",NA,5,1
Heavy Metal,1977,July,1,4,p.06-11,Approaching Centauri,"Philippe Druillet and Jean ""Moebius"" Giraud",reprinted in The Best Of 1982,6,6
Heavy Metal,1977,July,1,4,p.12-19,Den,Richard Corben,NA,12,8
Heavy Metal,1977,July,1,4,p.20-21,The Prince Of Mist: I. Arrival,Walter C. F. Perry and Jean-Michel Nicollet,NA,20,2
Heavy Metal,1977,July,1,4,p.21-22,The Prince Of Mist: II. Discovery,Walter C. F. Perry,NA,21,2
