file_name,drive_id,volume,issue
Heavy Metal v01 01 (1977-04) (Whyld Goose).cbr,1nXvg4Sqv3z1nDYIdMQ8BGoUcv3LMwRaM,1,1
Heavy Metal v01 02 (1977-05).cbr,10voahbgnzadQ2-ckJEFq66deUgKlK07I,1,2
Heavy Metal v01 03 (1977-06).cbr,1QdM6nQnEGdtdpnBTfRXnwcgTlnm7HxOu,1,3
Heavy Metal v01 04 (1977-07) (c2c) (Lazarus-DCP).cbz,1l1rf_Y4jmkqrGYKWabBQyMKmNr2ZkTTf,1,4
Heavy Metal v01 05 (1977-08) (Angelheart).cbr,1sbpzdT-X7OLB53B911HLa0FmwdS801yh,1,5
Heavy Metal v01 06 (1977) (null-DCP).cbz,1Z-JdskYMNcLl91WwR0K7bOR4UaUxS08_,1,6
Heavy Metal v01 07 (1977) (null-DCP).cbz,1Y_fyzEZ8cmMkgHcPlZlaAlnwJ9k0kK4Z,1,7
Heavy Metal v01 08 (1977-11).cbr,1e1Zm5PfKiXrkbjWVjNOfcmp5LstMcsNV,1,8
Heavy Metal v01 09 (1977-12).cbr,1jFkgzJA4R2XdABIKR9fBq45YYxrK44QQ,1,9
Heavy Metal v01 10 (1978-01) (Lazarus-DCP).cbz,1SvwKE4ZUlvUQ3HNgMAXq_AqaeEnnlbiI,1,10
Heavy Metal v01 11 (1978-02).cbr,1Y3cIL1u7su6AYZ1deOavku0mMTQDp5iu,1,11
Heavy Metal v01 12 (1978-03).cbr,1UnPhRABnLiM-XEqE5Khn-vdK4aP9Nkgp,1,12
Heavy Metal v01 13 (1978-04) (c2c) (Lazarus-DCP).cbz,1mH-Vzwah7RYwx2dtqM15V-VaFSgCZcp4,1,13
Heavy Metal v02 01 (1978-05).cbr,1gTkl3zp6wpr2CGDzaX6ktD3Kf0hrXy9Z,2,1
Heavy Metal v02 02 (1978-06) (misprinted as vol III).cbr,1eQgAJoC5C8Zw0qk13n1eJ9lzten83iE2,2,2
Heavy Metal v02 03 (1978-07) (c2c) (Lazarus-DCP).cbz,1CM4-ncBsvbplPEcTEh5ephQppzKluFKr,2,3
Heavy Metal v02 04 (1978-08).cbr,1eidX1GBqGjpxEorwlN20qIqvs-uPK6_R,2,4
Heavy Metal v02 05 (1978-09).cbr,1xaXEHpeqK9OpFMZbOWGpe4C2N8PhxCV9,2,5
Heavy Metal v02 06 (1978-10).cbr,1TknZLNmOPQcK0w7QzcYxwFQyo1O03eqP,2,6
Heavy Metal v02 07 (1978-11).cbr,1uYtQMMqX4hmiRRRFz5Lgk5Y8pQm9L01z,2,7
Heavy Metal v02 008 (1978) (null-DCP).cbz,15Zj2vzFxY25kByla4nga95otLZXO02jH,2,8
Heavy Metal v02 09 (1979-01) (Incomplete).cbr,1gtckIfW-DBONnxm1Jeg2t6hodlQI7hOF,2,9
Heavy Metal v02 10 (1979-02) (c2c) (Foyle-DCP%26Darkside).cbr,1gX74sI-eLbQM32B-iYYNIZvOEuVW8GWS,2,10
Heavy Metal v02 11 (1979-03) (c2c) (Foyle-DCP%26Darkside).cbr,1pWTPEuE-SnYlaRlOi6F3hwaea4jFEXJF,2,11
Heavy Metal v02 12 (1979-04).cbr,1uuShDQIYV3ieh2xtVzU80_sAtsrvxhGB,2,12
Heavy Metal v03 01 (1979-05) (fixed by glitch-DCP).cbr,1UFhaQV9mgmMQx755BEGktvQaGJVfxVbD,3,1
Heavy Metal v03 002 (1979) (null-DCP).cbz,1texO5yYRcz0m0l2JeBDF7idb1s6Hpp_f,3,2
Heavy Metal v03 03 (1979-07) (c2c) (Lazarus-DCP).cbz,1G0M_ePGbSPaeCKUp4-KA558oGgzpWzGe,3,3
Heavy Metal v03 04 (1979-08) (c2c) (Lazarus-DCP).cbz,157_NNUUpCXxozxvfWboK9YCdGmSJJLSL,3,4
Heavy Metal v03 05 (1979-09) (c2c).cbz,14ZnfL9itupYrchYm-SgQA0JZ6KVwqw0g,3,5
Heavy Metal v03 06 (1979-10) (glitch-DCP).cbr,1901Lmks6eQyfBl7LzOl45bLXw7p-O5kS,3,6
Heavy Metal v03 07 (1979-11) (c2c).cbz,1ZJs1lxYfJrj4LddqVxoXKimaEbVi_5kI,3,7
Heavy Metal v03 08 (1979-12) (c2c) (Lazarus-DCP).cbz,195WDP4a4mSvMzZq5cihTfI8Owhp-gkrF,3,8
Heavy Metal v03 09 (1980-01) (c2c) (Lazarus-DCP).cbz,1MNjpAGIfR4XMCvcw2HpWSrV66GMQwgsQ,3,9
Heavy Metal v03 10 (1980-02) (c2c) (Foyle-DCP%26Darkside).cbr,1tO-wDcwtoDxMwo27ht_pCk3YQZewvNhN,3,10
Heavy Metal v03 11 (1980-03) (c2c) (Lazarus-DCP).cbz,19qE7ZqGMnAdxhoumf49eDwF3MLMWZOI9,3,11
Heavy Metal v04 01 (1980-04) (c2c) (Lazarus-DCP).cbz,1m8HQru1oEuh1H2OLlCwgYdzo3d0TZKB5,4,1
Heavy Metal v04 02 (1980-05) (FPScans) (rescan).cbr,1mD9wk2kgwitONWITk8ZpjlZQN8WsOKIK,4,2
Heavy Metal v04 03 (1980-06) (c2c) (Bluenaga).cbr,1Bk4ps2_khTRty90MHvHV6FtDmOos4gV7,4,3
Heavy Metal v04 04 (1980-07) (c2c) (Lazarus-DCP).cbz,1drnKkrjSxSfch6nH90gGoV_Js7gtkSCi,4,4
Heavy Metal v04 005 (1980) (null-DCP).cbz,1VhS4te_4zRoXFPugycuF8MPg0gH9N2B6,4,5
Heavy Metal v04 06 (1980-09) (c2c) (Lazarus-DCP).cbz,10GfHTtr0nxc3Nnv5OzkU7ezqMGWoXOpB,4,6
Heavy Metal v04 07 (1980-10) (c2c) (Lazarus-DCP).cbz,10dvSsxrMRbGLcyw1qHyuQuucDFo6edce,4,7
Heavy Metal v04 08 (1980-11) (c2c) (Lazarus-DCP).cbz,13K-RLi2EzgHVP5B173UVWlLIQFtNTHQi,4,8
Heavy Metal v04 09 (1980-11) (c2c) (Lazarus-DCP).cbz,1sLJTm64uybSkHPnHfz5tDR8AFXMxcy_H,4,9
Heavy Metal v04 10 (1981-01) (c2c) (Lazarus-DCP).cbz,1e2F0xdsZiLdfuByZlmPL2OT5fx_SCupO,4,10
Heavy Metal v04 11 (1981-02) (c2c) (Lazarus-DCP).cbz,1B2_JinAv-uYazJV-KbDbHadCK6j1f0PW,4,11
Heavy Metal v04 12 (1981-03) (glitch-DCP).cbr,1jDxRKhHGLksCfMso-lgzGcr-HyAGtnYX,4,12
Heavy Metal v05 01 (1981-04) (c2c) (Lazarus-DCP).cbz,13-rQrCO6x_6kPBBhsNqBtIZl0Bt6iJVa,5,1
Heavy Metal v05 02 (1981-05).cbr,1JYeTGH7tAFpm_aVUsiPE6LIYuMxMimop,5,2
Heavy Metal v05 03 (1981-06) (c2c) (Lazarus-DCP).cbz,1TcdftkRCmO0ZKxL2_ndz50VArPrv8txC,5,3
Heavy Metal v05 04 (1981-07) (c2c) (Bluenagascan) (FIXED).cbr,1BzaSnNuiwVRWk7fyUk71yxfXDGdTxFLv,5,4
Heavy Metal v05 05 (1981-08).cbr,1kz4EtSVlkYQtrApBf5UQFrRN4wjlby71,5,5
Heavy Metal v05 06 (1981-09).cbr,1fGJM19WsXZv_u2cVnEY7BO8bgVN7_fiS,5,6
Heavy Metal v05 07 (1981-10).cbr,14WVmPwW8AvRaK0noZZ19MPecDU5OLXeR,5,7
Heavy Metal v05 08 (1981-11) (FPScans) (rescan).cbr,15aKL3Pc0LvdoLeZRaTN1dSR-S8vLoI4a,5,8
Heavy Metal v05 09 (1981-12).cbr,1EGlguAcJyzJt2tMci92mJCL4WAQBy6it,5,9
Heavy Metal v05 10 (1982-01) (Jnx-HaCsA).cbz,1N8kaZnLYRulge3jF8A0CHJvTGD13m1zc,5,10
Heavy Metal v05 11 (1982-02) (Jnx-HaCsA).cbr,1Xd5C7TB-KF2YxAgwwdX5FMDwwGESbhWt,5,11
Heavy Metal v05 12 (1982-03) (Jnx-HaCsA).cbr,1lZkDQi2HREaiivuL7-MD_ljEHAIoa7l8,5,12
Heavy Metal v06 01 (1982-04) (Jnx-HaCsA).cbr,1WAoiJar9vvBfFlgM11tGgDMdYFT2XOPI,6,1
Heavy Metal v06 02 (1982-05) (Jnx-HaCsA).cbr,1Usttx8kLLfYvSC3UrK-StUoSsb9LhFRK,6,2
Heavy Metal v06 03 (1982-06) (Jnx-HaCsA).cbr,1W8khAxgutpe13wUdJ4YUBSJVGcuxiaWT,6,3
Heavy Metal v06 04 (1982-07) (Jnx-HaCsA).cbr,1BGcSeAnA46O62RhNa4d1w3Q_o3it1uZv,6,4
Heavy Metal v06 05 (1982-08) (Jnx-HaCsA).cbr,1Rg6REfZLS8lfpUkf_TxRS_CbY67GsAB8,6,5
Heavy Metal v06 06 (1982-09) (Jnx-HaCsA).cbr,1y_vhRgj5F1IgR_GajfjIcd6kVmTSuIcY,6,6
Heavy Metal v06 07 (1982-10) (Jnx-HaCsA).cbr,1QgBpUZ1kfvUTc6LjyHtNL5rw1BNnUTvc,6,7
Heavy Metal v06 08 (1982-11) (Jnx-HaCsA).cbr,1YlSHRdBNgejOP4sTNYrQigpsGnVckF7b,6,8
Heavy Metal v06 09 (1982-12) (Jnx-HaCsA).cbr,101xoJe34Xz8_MneBkcDouqP6FEeLC0K9,6,9
Heavy Metal v06 10 (1983-01) (Jnx-HaCsA).cbr,1SS3icUO9PRfnVDTodyUf00TELFuvog7Q,6,10
Heavy Metal v06 11 (1983-02) (Jnx-HaCsA).cbr,1ZdIb7g2g1RBtgooy-1jWKvd77_26KQKo,6,11
Heavy Metal v06 12 (1983-03) (Jnx-HaCsA).cbr,1_5WpMBf1d1cxhdp_9ZAfsdB0kOKSgTm2,6,12
Heavy Metal v07 01 (1983-04) (Jnx-HaCsA).cbr,1hS_9ro847PxvtC2Ic7sEZGJxEFnOTmjj,7,1
Heavy Metal v07 02 (1983-05) (Jnx-HaCsA).cbr,1RaoPSlOHdG3Bn7ERhOA53QU0NvHlY4Ha,7,2
Heavy Metal v07 03 (1983-06) (Jnx-HaCsA).cbr,18Gj8kJ0zopo5QZGR8ml7fdj8TL1a8WaH,7,3
Heavy Metal v07 04 (1983-07) (Jnx-HaCsA).cbr,1QWtEER1taN31J3B7GYNLYdhcJ_j6r2S4,7,4
