magazine,volume,issue,month,year,title,Title,Description,Authors
National Lampooon,1,1,April,1970,Sex,COVER,See also: The Inside Story on the Cover Photo of Issue No. 1,Photograph uncredited; Cartoon by Peter Bramley
National Lampooon,1,1,April,1970,Sex,Editorial,What first appears to be a bald attempt to fill space segues into a facetious statement of editorial policy.,"By Henry Beard, Doug Kenney, and Robert K. Hoffman; Illustration by Peter Bramley"
National Lampooon,1,1,April,1970,Sex,Letters,NA,From the Editors
National Lampooon,1,1,April,1970,Sex,Horrorscope,Celebrities’ futures predicted through reading the entrails of sacrificial animals,Text uncredited [Doug Kenney]; Illustration by Gail Burwen
National Lampooon,1,1,April,1970,Sex,Mrs. Agnew’s Diary,"Pat and Dick invite Judy and Spiggy to lunch in the upstairs room. The rambling text sets the tone for what would become a popular column, though not much happens in this first installment.",Uncredited [Doug Kenney]
National Lampooon,1,1,April,1970,Sex,Uncle Tom’s Column,A handy lexicon of common black terms for use by white employers to enable them to better ingratiate themselves to their black employees.,Uncredited [Beard?]
National Lampooon,1,1,April,1970,Sex,People Are…,Vapid high-society banter on the trendiest of the trendsetters and what they’re doing.,By Tamara Gould [George W. S. Trow]; Photographs by Michael Sullivan
National Lampooon,1,1,April,1970,Sex,Son of Homo Sapiens,What got cut from bad old sci-fi movies to adapt them for late night television broadcast.,Uncredited [Kenney?]
National Lampooon,1,1,April,1970,Sex,Sex Section Introduction,NA,Uncredited; Illustration by Bill Skurski
National Lampooon,1,1,April,1970,Sex,Sex Through the Ages,Awful jokes and bad puns posing as a scholarly overview of the history of sex.,By Richard Armour; Illustrations by Arnold Roth
National Lampooon,1,1,April,1970,Sex,White House Romance,"Romance comic book parody featuring David Eisenhower and Julie Nixon in which we follow Julie’s valiant efforts to remain a virgin, marriage notwithstanding. Plus, and ad parody for Richard of Pennsylvania Avenue’s Magic Formula #1776 which, it is claimed, can rid you of unwanted political agitators and hippy scum for the low price of only $1.98.",By Steve Kaplan; Illustrations by Jorg (?)
National Lampooon,1,1,April,1970,Sex,Michael O’Donoghue’s Pornocopia,Clichéed pornographic stories cast in various literary styles,By Michael O’Donoghue; Illustration by Charles E. White III
National Lampooon,1,1,April,1970,Sex,Oh! Hefner!,"A parody of a Playboy centerfold pictorial in which the subject (a young woman named Penelope Plastique who’s interests–revealed in the condescending accompanying text—include women’s rights, underwater mineral research, the poor, and playing cymbals) apparently poses for the nude centerfold photo only after getting smashing drunk.",By Mark MacArthur; Photographs by Fred Burrell
National Lampooon,1,1,April,1970,Sex,Playbore’s Party Jokes,"The requisite joke page following the centerfold, which read like dirty jokes, but without punchlines.",By Doug Kenney
National Lampooon,1,1,April,1970,Sex,The Schoenstein Report,"Dr. Schoenstein presents the results of his not-so-scientific survey on the sexual behavior of residents of Yonkers, N.Y., assuring the reader that his belief that all sex is perversion will in no way affect his conclusions.",By Ralph Schoenstein; Photographs by Ogden Goelet; Graphs by Dennis Hermanson
National Lampooon,1,1,April,1970,Sex,Mondo Perverto Magazine,"A magazine which covers the world of bizarre practices, sexual and otherwise. Filled with curious photos lifted from a variety of sources, including some ludicrous pornographic ones. The layout is a chaotic collage and feels very low-budget, though it’s hard to tell whether this was intentional.","Mondo Perverto Magazine, By Michael O’Donoghue and Tamara Gould [George W. S. Trow]; Designed by Dennis Hermanson"
National Lampooon,1,1,April,1970,Sex,"I a Splurch,",A lewd parody of Dr. Seuss concerning a ill-fated young bird’s journey of sexual awakening,By John Weidman; Illustrations by Peter Bramley
National Lampooon,1,1,April,1970,Sex,Rockwall’s Erotic Engravings,"Parody of an Avant-Garde magazine ad. Unbelievably, the target of this parody appears in the same issue 17 pages earlier. Also includes what is purported to be an erotic engraving by “Norman Rockwall.”",By Doug Kenney; Illustrations by Peter Bramley
National Lampooon,1,1,April,1970,Sex,The Kuku Sutra,"Parody of the Kama Sutra, accompanied by photographs of a couple wearing fairly un-sexy underwear. Describes various sexual techniques and perversions, all of which sound more lurid than they are.",By Roger Price; Photographs by Michael Sullivan
National Lampooon,1,1,April,1970,Sex,Sex Poems,"Five sexy poems—sexy, that is, unless you happen to be human.",By Patrick Coffey; Illustration by Lone Wolf
