currently_testing,site,water_body,borough_state,neighborhood_town,latitude,longitude,last_sampled,district_council_number,2021_lab_analysis_by:
TRUE,"Bronx Kill, east end",Bronx Kill,Manhattan,Randalls Island,40.797291,-73.916026,2022,,NA
TRUE,"Bronx Kill, west end",Bronx Kill,Manhattan,Randalls Island,40.801921,-73.924084,2022,,NA
FALSE,"Bronx River, Bronx Botanical Gardens",Bronx River,Bronx,Bronx Park,40.862411,-73.874364,2015,,NA
TRUE,"Bronx River, Hunts Point Riverside Park",Bronx River,Bronx,Hunts Point,40.8178447,-73.881072,2022,,Bronx River Alliance
TRUE,"Bronx River, Soundview Park, HP009 CSO",Bronx River,Bronx,Clason Point,40.8144,-73.8708,2022,,Bronx River Alliance
TRUE,"Bronx River, Soundview Park (mouth)",Bronx River,Bronx,Clason Point,40.8097,-73.8682,2022,,Bronx River Alliance
TRUE,"Bronx River, Starlight Park, North Dock",Bronx River,Bronx,Soundview,40.832385,-73.882821,2022,,Bronx River Alliance
FALSE,"Bronx River, Starlight Park, south of dam",Bronx River,Bronx,Soundview,40.8321416,-73.882928,2015,,NA
TRUE,"Buttermilk Channel, Pier 101 (Governors Island)",Buttermilk Channel,Manhattan,Governors Island,40.691375,-74.012532,2022,,Billion Oyster Project's Williamsburg Field Station
TRUE,"Buttermilk Channel, Valentino Pier",Buttermilk Channel,Brooklyn,Red Hook,40.678574,-74.018372,2022,,Billion Oyster Project's Williamsburg Field Station
TRUE,"Coney Island Creek, Calvert Vaux Beach",Coney Island Creek,Brooklyn,Gravesend,40.5835405,-73.9927194,2023,,NA
FALSE,"Coney Island Creek, Calvert Vaux Park",Coney Island Creek,Brooklyn,Gravesend,40.5844306,-73.990388,2020,,NA
TRUE,"Coney Island Creek, Kaiser Park",Coney Island Creek,Brooklyn,Gravesend,40.5810247,-73.997941,2022,,Interstate Environmental Commission
FALSE,"Coney Island Creek, Shell Road (head of creek)",Coney Island Creek,Brooklyn,Gravesend,40.5825464,-73.974837,2019,,NA
FALSE,"Coney Island Creek, West 21st Street",Coney Island Creek,Brooklyn,Coney Island,40.5791505,-73.98747,2019,,NA
FALSE,"East River, Anable Basin",East River,Queens,Hunters Point,40.748051,-73.954628,2021,,Billion Oyster Project's Williamsburg Field Station
