                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------

2024 336    0.05    0.11    0.33    0.08    0.00    0.80    0.13
2024 337    0.07    0.34    0.41    0.19    0.00    0.94    0.22
2024 338    0.12    0.07    0.39    0.24    0.00    3.79    0.19
2024 339    0.72    0.14    0.58    0.11    0.00    0.07    0.44
2024 340    0.53    0.23    0.17    0.07    0.01    0.00    0.29
2024 341    0.69    0.51    0.93    0.58    0.02    2.30    0.65
2024 342    0.72    0.69    1.61    0.45    0.05    1.88    0.85
2024 343    0.56    0.45    1.11    0.48    0.06    3.23    0.63
2024 344    0.12    0.07    0.39    0.24    0.00    3.79    0.19
2024 345    0.58    0.25    0.60    0.16    0.11    0.94    0.44
2024 346    0.77    0.20    0.57    0.13    0.07    0.42    0.48
2024 347    0.74    0.26    0.98    0.09    0.31    0.70    0.60
2024 348    1.13    2.15    2.82    1.15    0.35   25.08    1.80
2024 349    1.38    1.37    3.62    1.17    0.32   41.01    1.97
2024 350    1.40    1.42    2.69    1.22    0.65   44.17    1.81
2024 351    1.14    1.40    1.58    1.27    0.56   11.00    1.31
2024 352    1.02    1.48    1.70    0.56    0.42    1.99    1.20
2024 353    0.94    0.45    0.67    0.22    0.29    0.33    0.65
2024 354    1.27    0.54    0.94    0.12    0.22    0.33    0.84
2024 355    1.42    1.59    2.30    0.19    0.51    0.07    1.48
2024 356    1.47    1.59    3.16    0.20    0.59    0.45    1.71
2024 357    1.61    4.00    7.00    1.38    0.89   53.48    3.56
2024 358    1.91    2.81    5.45    2.11    1.25   52.72    3.12
2024 359    1.59    2.26    5.97    0.91    1.36   22.74    2.78
2024 360    1.68    2.72    6.58    1.61    2.32   38.17    3.26
2024 361    1.61    2.82    6.43    0.52    2.78    6.09    3.03
2024 362    1.15    2.09    4.66    0.37    1.08    0.97    2.12
2024 363    1.12    1.83    4.21    0.19    1.05    0.59    1.92
2024 364    1.07    1.50    3.59    0.05    1.02    0.35    1.66
2024 365    1.08    1.14    2.68    0.05    1.02    0.09    1.37
2024 366    1.23    1.00    2.47    0.01    0.54    0.00    1.30
2025 001    1.28    1.04    2.07    0.00    0.63    0.00    1.24
2025 002    1.38    1.36    2.04    0.20    0.93    0.35    1.39
2025 003    1.32    1.83    3.34    0.00    0.89    0.00    1.76
2025 004    1.36    2.10    3.19    0.00    0.89    0.00    1.80
2025 005    1.72    2.21    4.01    0.99    0.89   13.22    2.29
2025 006    2.73    4.19    8.28    4.85    1.38   54.87    4.68
2025 007    2.35    4.38    8.59   12.79    1.60   91.04    5.56
2025 008    3.22    5.88   10.55   12.35    1.83   91.12    6.66
2025 009    4.49    7.38   11.78   12.09    2.07   90.91    7.75
2025 010    5.74    7.71   17.74   24.81    2.62   89.28   10.93
2025 011    3.62    6.90   17.28   23.46    8.48   89.92   10.17
2025 012    5.36    6.24   15.06   19.14    3.87   89.96    9.38
2025 013    3.61    6.65   11.92   12.85    3.64   85.00    7.46
2025 014    4.00    8.67   13.15   26.14    4.45   94.51    9.69
2025 015    5.03   11.95   14.79   28.10    3.61   97.83   11.33
2025 016    4.51   11.11   16.52   34.62    8.81   99.77   12.37
2025 017    3.37    8.80    9.28   30.20    5.74   97.90    9.05
2025 018    3.80    6.96    9.88   26.59    5.43   97.70    8.58
2025 019    5.50   13.47   15.92   31.13    4.04   96.30   12.42
2025 020    8.55   17.41   23.18   38.42    8.24   96.34   17.15
2025 021    9.46   20.34   26.70   58.16    7.08   99.94   20.76
2025 022   11.04   19.83   24.06   80.08   13.01   99.94   23.08
2025 023    8.19   21.48   25.31   85.07   13.38  100.00   23.21
2025 024   10.55   21.49   30.94   80.93   10.49  100.00   24.81
2025 025   10.58   18.81   27.91   86.33   11.60  100.00   24.09
2025 026    6.20   15.61   18.31   73.45    6.21  100.00   17.87
2025 027    4.86   15.34   17.32   75.30    5.20  100.00   17.19
2025 028    7.32   14.96   21.82   87.13    7.83  100.00   20.37
2025 029    6.85   13.77   21.73   75.83   10.64  100.00   19.06
2025 030    8.45   17.06   28.86   79.73    9.01   96.77   22.32
2025 031    8.68   17.51   26.55   74.55    8.35   96.96   21.42
2025 032   11.94   19.79   41.34   80.27   15.60   96.83   27.72
2025 033   16.18   17.55   41.71   84.94   13.57   96.83   29.14
